Location,Description,Price,Surface,RoomN,Listing,Company,HashKey
"Tirana, Albania",NEWLY INVESTED STUDIO FOR RENT IN SELVIA,500 €,43 m2,,To Rent ,Century21,8ae400892ffc3afa8b086fa94b1a57ed
"Tirana, Albania","APARTMENT FOR RENT 3+1+2, TE GLOBE!!!","1,000 €",220 m2,,To Rent ,Century21,7a9afd171642e2a0de8549a28a32bafb
"Tirana, Albania",APARTMENT FOR SALE 2+1+2 IN UNIVERS CITY,"94,000 €",91 m2,,For Sale ,Century21,9968d73345249f498606684685878111
"Tirana, Albania",2+1+2 apartment for rent in Astir!,550 €,113 m2,,To Rent ,Century21,a913c606b3df17fbf7f6bc230acb4749
"Tirana, Albania","Commercial premises for rent St., Durres","1,500 €",115 m2,,To Rent ,Century21,5266a99988b6f0574b1ea5d7fc20d911
"Tirana, Albania",Apartment for Rent 1+1 on Bardhyl Street,500 €,50 m2,,To Rent ,Century21,ed8a687f63d87f364c8fcfad431c0207
"3 min larg QENDRËS Tirana, Albania","SALE, MODERN APARTMENT 1+1+2 in MYSLYM SHYRI ‼️","295,000 €",95 m2,,For Sale ,Century21,fd14d4fc758f6e0058b054f0f9cba95c
"Tirana, Albania","2+1 APARTMENT FOR SALE IN UNIVERS CITY, READY FOR LIVING","92,000 €",84 m2,,For Sale ,Century21,8e02b4e7c3b4668c685bfe6e0010d6f4
"Tirana, Albania",Apartment 3+1+2 + Parking for sale Liqini i Thate!,Price upon request,128 m2,,For Sale ,Century21,43a7983ebf30ad27a4765410e70653d9
"Tirana, Albania",Apartment for sale in Yzberish.,"129,000 €",88 m2,,For Sale ,Century21,01552a95d32e41a638371908c051efcc
"Tirana, Albania","FORTUZI STREET, PARKING POST SALE","240,000 €",300 m2,,For Sale ,Century21,52d4c6573f52a16b563cd540aac7b1df
"përball AMERIKAN 3 Tirana, Albania","RENT, SHOP at MISTO MAME ‼️",550 €,220 m2,,To Rent ,Century21,ecbab16c4ad621de2664a1025696057d
"Tirana, Albania",FOR SALE 5000 M2 LAND IN LUNDER!,"450,000 €",5000 m2,,For Sale ,Century21,fe1f32ec74488d417857da52dcc455f2
"Tirana, Albania",MODERN APARTMENT FOR RENT 2+1+2 TE FIORE DI BOSCO!,800 €,110 m2,,Reserved ,Century21,ca404dd72e10f928f78d926357dfe16a
"Tirana, Albania",1+1 FOR RENT AT THE BEGINNING OF NEW BOULEVARD!,500 €,74 m2,,To Rent ,Century21,b83ca21882515c6d3a73079cc8ddeb24
"Tirana, Albania",1290.5m2 business building for sale near the main road in Fushe - Preze!,"900,000 €",1290 m2,,For Sale ,Century21,d241408ff5cb754d7f941eb8a97977a5
"Rruga Lidhja e Prizrenit Tirana, Albania",1+1 apartment in Paskuqan!,"85,250 €",78 m2,,For Sale ,Century21,dfb5eb49052e9a4452ead55fb2fc359e
"Rruga Lidhja e Prizrenit Tirana, Albania",1+1 apartment in Paskuqan!,"85,250 €",78 m2,,For Sale ,Century21,dfb5eb49052e9a4452ead55fb2fc359e
"Rruga e Durresit Tirana, Albania",2+1 apartment for rent on Durres Street,430 €,73 m2,,To Rent ,Century21,46f7305b21e034916fc5dfdbad7a6ca8
"Tirana, Albania",APARTMENT FOR SALE 2+1+2 BALCONY IN GOLDEN PARK RESIDENCE,"160,000 €",99 m2,,For Sale ,Century21,7c4769a669def82b84e7133bbe306a24
"Rruga Bardhyl Tirana, Albania","Bardhyl Street, Commercial Space for Rent.",800 €,150 m2,,To Rent ,Century21,db1f75488ba8bd29f7956c963f0776ea
"Tirana, Albania","Zoo, Rent, Apartment 2+1",600 €,116 m2,,To Rent ,Century21,ac14e2b2ff656ab20b630d0fd9706d5e
"Ali Demi Tirana, Albania","ALI DEMI, APARTMENT FOR RENT 3+1+2!",400 €,113 m2,,To Rent ,Century21,00c3ae163fe925ea36ea517086641a8b
"Tirana, Albania","Land for sale in Linze, Dajt!","170,000 €",2700 m2,,For Sale ,Century21,0675339f1f5ddf013cfbf50140b1bbde
"Tirana, Albania",Parking at the Garden Building!,100 €,20 m2,,To Rent ,Century21,ea073964a573a5042ac2725767ffca30
"Tirana, Albania",3 Garages for sale at the 'Malaysian' Complex in Laprake,"35,000 €",55 m2,,For Sale ,Century21,0c8a66deb37ae29c125567881d98c9b3
"Kopshti Botanik Zoologjik Tirana, Albania","At the Botanical Garden, Super Luxurious 2+1 Apartment for Sale!!!","250,000 €",116 m2,,For Sale ,Century21,7d93b4abd3008952cc38f57ef620d047
"Rruga e Dibres, prane Qendres Tirana, Albania",OFFICE FOR RENT 60m² NEAR THE CENTER!,550 €,60 m2,,To Rent ,Century21,7dcf660cab9445d952a10c5059eaa809
"Prush Tirana, Albania","PRUSH, LAND SALE","230,750 €",3550 m2,,For Sale ,Century21,82ce485e18b86ef36e5143c5c1bfc90b
"Kopshti Botanik Zoologjik Tirana, Albania",APARTMENT 1+1 NEAR THE BOTANICAL GARDEN!,"140,000 €",71 m2,,For Sale ,Century21,11b41c9eb66754e24fb5a2919702db14
"Tirana, Albania",1+1 apartment for rent,400 €,52 m2,,To Rent ,Century21,a0d1ad99ba851914f4c1177287cf3adc
"Tirana, Albania",Commercial for rent on the side of the street at Pazari i Ri,"1,500 €",50 m2,,To Rent ,Century21,3921d8b769be6dbf5232a28910fae806
"Tirana, Albania",4000 M2 OF LAND FOR SALE IN LUNDER!,"520,000 €",4000 m2,,For Sale ,Century21,b65f8f11998985e269c566609eafaccb
"Tirana, Albania","SALE, MODERN APARTMENT 3+1+2 with PARKING POST ‼️","225,000 €",160 m2,,For Sale ,Century21,3b05d8b47c370a496b3ac05d0a971480
"Tirana, Albania",EXCLUSIVE TAXI BUSINESS FOR SALE!,"375,000 €",500 m2,,For Sale ,Century21,563d325183ad835e4f9a1e6fb3bb56d2
"Tirana, Albania","JEPET ME QIRA KATI I PARE I NJE VILE , SELITE",400 €,158 m2,,To Rent ,Century21,fe0ea15a42e8bd61f46d39136eb47705
"Rr.Don Bosko Tirana, Albania","Commercial premises for rent St., Don Bosco","3,000 €",219 m2,,To Rent ,Century21,c11f8cf4bfe0dcb63aec40b7b98cea19
"Tirana, Albania",Penthouse + 1 Garage for Sale in Block!,"630,000 €",280 m2,,For Sale ,Century21,a0fa03e4cd14274330474368d58d1996
"Rruga e Barrikadave Tirana, Albania",APARTMENT 2+1+PARKING FOR RENT ON BARRICADE STREET,"1,000 €",126 m2,,To Rent ,Century21,c4b6fc35000aa72d2106d8cae08536f4
"Rruga ""Kongresi i Manastirit"" Tirana, Albania","ASL COMPLEX, APARTMENT 1+1 FOR RENT",450 €,75 m2,,To Rent ,Century21,0f58f1e656b38b628c0bb673f3f1ac74
"Tirana, Albania",Apartment for rent for office or residence,600 €,170 m2,,To Rent ,Century21,5950d4fa6d1e09f02f82206a4c2872f7
"Tirana, Albania",Apartment For Rent 2+1+2 At Secret Garden,"1,150 €",98 m2,,To Rent ,Century21,ebbc76782ffffb848c5cf966777c9416
"Komisariati nr.4 Tirana, Albania",DUPLEX BUSINESS PREMISES FOR SALE NEAR THE COMMISSION STATION NO. 4,"150,000 €",141 m2,,For Sale ,Century21,b79d1d5380b2212ae11e0f6179a5be71
"Rruga Naum Veqilharxhi Tirana, Albania",3-storey villa for sale in Venue!!,"360,000 €",437 m2,,For Sale ,Century21,7020d04f46c183c0c99a4816f19aa635
"Tirana, Albania",Land for sale in Babru hill,"68,000 €",680 m2,,For Sale ,Century21,72899510b73f1fa7735307f87ae0f092
"Tirana, Albania",Land for sale in Koder Babrru.,"245,000 €",2450 m2,,For Sale ,Century21,d610090328dd5acca63a39c70822223d
"Rruga Kamber Benja Tirana, Albania",APARTMENT 1+1 IN SELITA!,"120,000 €",85 m2,,For Sale ,Century21,20112e86b5b99c25b50997192e7bdddd
"pas LA VOGLIAs Tirana, Albania","RENT, APARTMENT 2+1+2 in SHALVARET ‼️",500 €,89 m2,,Reserved ,Century21,c353832322a654eba3469f56a720c1d0
"Tirana, Albania",Apartment For Rent 2+1+2 At Secret Garden,"1,380 €",250 m2,,To Rent ,Century21,6ec09e72cd213215a3aad9cca8c9b8cc
"Rruga ""Qemal Stafa"" Tirana, Albania",2+1+2 APARTMENTS FOR RENT NEAR THE NEW MARKET!,700 €,94 m2,,To Rent ,Century21,370037d25d370b31782e256842403967
"Tirana, Albania",Apartment 2+1+2 For Rent,"1,800 €",105 m2,,To Rent ,Century21,4cfafdb0ebcddff5987e1c06c3323aea
